"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\pom.xml", "XML", 18, 0, 1, 5, 24
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\controller\NatsysTestController.java", "Java", 0, 71, 25, 9, 105
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\controller\NatsysTestDoctorController.java", "Java", 0, 72, 24, 9, 105
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\controller\NatsysTestSchemeController.java", "Java", 0, 72, 24, 9, 105
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\domain\NatsysTest.java", "Java", 0, 135, 17, 29, 181
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\domain\NatsysTestDoctor.java", "Java", 0, 136, 17, 29, 182
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\domain\NatsysTestScheme.java", "Java", 0, 71, 11, 15, 97
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\mapper\NatsysTestDoctorMapper.java", "Java", 0, 12, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\mapper\NatsysTestMapper.java", "Java", 0, 12, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\mapper\NatsysTestSchemeMapper.java", "Java", 0, 12, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\INatsysTestDoctorService.java", "Java", 0, 12, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\INatsysTestSchemeService.java", "Java", 0, 12, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\INatsysTestService.java", "Java", 0, 12, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\impl\NatsysTestDoctorServiceImpl.java", "Java", 0, 46, 42, 9, 97
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\impl\NatsysTestSchemeServiceImpl.java", "Java", 0, 46, 42, 9, 97
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\impl\NatsysTestServiceImpl.java", "Java", 0, 46, 42, 9, 97
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\resources\mapper\natsys\NatsysTestDoctorMapper.xml", "XML", 113, 0, 0, 8, 121
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\resources\mapper\natsys\NatsysTestMapper.xml", "XML", 96, 0, 0, 8, 104
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\resources\mapper\natsys\NatsysTestSchemeMapper.xml", "XML", 77, 0, 0, 8, 85
"Total", "-", 304, 767, 497, 204, 1772